

# ========== Energy Minimization ==========
thermo          1
thermo_style    custom step pe lx ly lz vol temp press
minimize 1.0e-10 1.0e-10 10000 100000
Switching to 'neigh_modify every 1 delay 0 check yes' setting during minimization
WARNING: Energy due to 1 extra global DOFs will be included in minimizer energies
 (../min.cpp:219)
Per MPI rank memory allocation (min/avg/max) = 4.433 | 4.433 | 4.433 Mbytes
   Step         PotEng           Lx             Ly             Lz           Volume          Temp          Press     
         0  -0.088329051    6              6              6              216            0             -5169.1967    
         1  -0.090424519    5.994          5.994          5.994          215.35265      0             -5203.4235    
         2  -0.092529811    5.988          5.988          5.988          214.70659      0             -5238.7164    
         3  -0.094645311    5.982          5.982          5.982          214.06183      0             -5275.1101    
         4  -0.096771415    5.976          5.976          5.976          213.41835      0             -5312.6353    
         5  -0.098908525    5.97           5.97           5.97           212.77617      0             -5351.3181    
         6  -0.10105705     5.964          5.964          5.964          212.13528      0             -5391.1805    
         7  -0.10321741     5.958          5.958          5.958          211.49568      0             -5432.2395    
         8  -0.10539003     5.952          5.952          5.952          210.85736      0             -5474.5066    
         9  -0.10757531     5.946          5.946          5.946          210.22033      0             -5517.9883    
        10  -0.10977368     5.94           5.94           5.94           209.58458      0             -5562.686     
        11  -0.11198556     5.934          5.934          5.934          208.95012      0             -5608.5955    
        12  -0.11421135     5.928          5.928          5.928          208.31694      0             -5655.7069    
        13  -0.11645145     5.922          5.922          5.922          207.68504      0             -5704.0054    
        14  -0.11870626     5.916          5.916          5.916          207.05442      0             -5753.4706    
        15  -0.12097616     5.91           5.91           5.91           206.42507      0             -5804.0771    
        16  -0.12326151     5.904          5.904          5.904          205.797        0             -5855.7944    
        17  -0.12556266     5.898          5.898          5.898          205.17021      0             -5908.5871    
        18  -0.12787995     5.892          5.892          5.892          204.54469      0             -5962.3957    
        19  -0.13021369     5.886          5.886          5.886          203.92045      0             -6017.2144    
        20  -0.13256476     5.88           5.88           5.88           203.29747      0             -6076.9927    
        21  -0.13493565     5.874          5.874          5.874          202.67577      0             -6144.2038    
        22  -0.13732917     5.868          5.868          5.868          202.05533      0             -6218.85      
        23  -0.13974809     5.862          5.862          5.862          201.43616      0             -6300.9162    
        24  -0.14219513     5.856          5.856          5.856          200.81826      0             -6390.3744    
        25  -0.14467302     5.85           5.85           5.85           200.20162      0             -6487.1937    
        26  -0.14718442     5.844          5.844          5.844          199.58625      0             -6591.3412    
        27  -0.14973198     5.838          5.838          5.838          198.97214      0             -6702.783     
