

# ========== Energy Minimization ==========
thermo          1
thermo_style    custom step pe lx ly lz vol temp press
minimize 1.0e-10 1.0e-10 1000000 100000
Switching to 'neigh_modify every 1 delay 0 check yes' setting during minimization
WARNING: Energy due to 1 extra global DOFs will be included in minimizer energies
 (../min.cpp:219)
Per MPI rank memory allocation (min/avg/max) = 4.449 | 4.449 | 4.449 Mbytes
   Step         PotEng           Lx             Ly             Lz           Volume          Temp          Press     
         0  -0.25907001     5              5              7              175            0             -13421.46     
         1  -0.26351257     4.995          4.995          6.993          174.47552      0             -13722.616    
         2  -0.26804614     4.99           4.99           6.986          173.9521       0             -14033.005    
         3  -0.27267334     4.985          4.985          6.979          173.42972      0             -14352.61     
         4  -0.27739676     4.98           4.98           6.972          172.90839      0             -14681.419    
         5  -0.28221897     4.975          4.975          6.965          172.3881       0             -15019.421    
         6  -0.28714252     4.97           4.97           6.958          171.86886      0             -15366.607    
         7  -0.29216996     4.965          4.965          6.951          171.35066      0             -15722.971    
         8  -0.29730379     4.96           4.96           6.944          170.83351      0             -16088.507    
         9  -0.3025465      4.955          4.955          6.937          170.3174       0             -16463.213    
        10  -0.30790058     4.95           4.95           6.93           169.80232      0             -16847.088    
        11  -0.31336849     4.945          4.945          6.923          169.28829      0             -17240.132    
        12  -0.31895266     4.94           4.94           6.916          168.7753       0             -17642.346    
        13  -0.32465553     4.935          4.935          6.909          168.26334      0             -18053.734    
        14  -0.33047951     4.93           4.93           6.902          167.75242      0             -18474.316    
        15  -0.33642699     4.925          4.925          6.895          167.24253      0             -18904.663    
        16  -0.34250014     4.92           4.92           6.888          166.73368      0             -19339.407    
        17  -0.34869762     4.915          4.915          6.881          166.22587      0             -19764.551    
        18  -0.35501482     4.91           4.91           6.874          165.71908      0             -20176.354    
        19  -0.36144709     4.905          4.905          6.867          165.21332      0             -20575.111    
        20  -0.36798983     4.9            4.9            6.86           164.7086       0             -20961.054    
        21  -0.37463836     4.895          4.895          6.853          164.2049       0             -21332.18     
